Geography,product,unit,carbon footprint in kg CO2e,Source of information
Czech Republic,"electricity, low voltage",kWh,0.686766241,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Germany,"electricity, low voltage",kWh,0.481028078,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Denmark,"electricity, low voltage",kWh,0.216638534,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Dominican Republic,"electricity, low voltage",kWh,0.92590201,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Algeria,"electricity, low voltage",kWh,0.723749156,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Ecuador,"electricity, low voltage",kWh,0.130930912,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Estonia,"electricity, low voltage",kWh,0.663777295,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Egypt,"electricity, low voltage",kWh,0.715043707,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Eritrea,"electricity, low voltage",kWh,1.148601154,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Spain,"electricity, low voltage",kWh,0.276612421,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Ethiopia,"electricity, low voltage",kWh,0.024538323,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Finland,"electricity, low voltage",kWh,0.225502699,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
France,"electricity, low voltage",kWh,0.080075589,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Gabon,"electricity, low voltage",kWh,0.333264654,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Great Britain,"electricity, low voltage",kWh,0.303674615,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Georgia,"electricity, low voltage",kWh,0.17905142,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Ghana,"electricity, low voltage",kWh,0.524491593,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Gibraltar,"electricity, low voltage",kWh,0.921633984,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Greece,"electricity, low voltage",kWh,0.74537821,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Guatemala,"electricity, low voltage",kWh,0.55245439,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Hong Kong,"electricity, low voltage",kWh,0.883895656,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Honduras,"electricity, low voltage",kWh,0.738057749,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Croatia,"electricity, low voltage",kWh,0.426731584,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Haiti,"electricity, low voltage",kWh,1.242097665,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Hungary,"electricity, low voltage",kWh,0.413191346,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Indonesia,"electricity, low voltage",kWh,1.211037499,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Ireland,"electricity, low voltage",kWh,0.361390756,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Israel,"electricity, low voltage",kWh,0.794793431,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
IN-Eastern grid,"electricity, low voltage",kWh,1.572999582,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
IN-North-eastern grid,"electricity, low voltage",kWh,1.114634335,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
IN-Northern grid,"electricity, low voltage",kWh,1.362268323,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
IN-Southern grid,"electricity, low voltage",kWh,1.270944174,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
IN-Western grid,"electricity, low voltage",kWh,1.50840944,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Irak,"electricity, low voltage",kWh,1.21800516,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Iran,"electricity, low voltage",kWh,0.730603997,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Iceland,"electricity, low voltage",kWh,0.045836331,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Italy,"electricity, low voltage",kWh,0.409862374,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Jamaica,"electricity, low voltage",kWh,0.875385927,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Jordan,"electricity, low voltage",kWh,0.603707531,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Japan,"electricity, low voltage",kWh,0.680602509,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Kenya,"electricity, low voltage",kWh,0.204183297,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Kyrgyzstan,"electricity, low voltage",kWh,0.135547324,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Cambodia,"electricity, low voltage",kWh,0.71811968,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
"Korea, Democratic People's Republic","electricity, low voltage",kWh,0.239917367,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
South Korea,"electricity, low voltage",kWh,0.706617515,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Kuwait,"electricity, low voltage",kWh,0.847134241,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Kazakhstan,"electricity, low voltage",kWh,1.033421147,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Lebanon,"electricity, low voltage",kWh,1.035674305,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Sri Lanka,"electricity, low voltage",kWh,0.814025041,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Lithuania,"electricity, low voltage",kWh,0.462999831,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Luxembourg,"electricity, low voltage",kWh,0.401681787,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Latvia,"electricity, low voltage",kWh,0.531468869,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Libya,"electricity, low voltage",kWh,0.894505262,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Morocco,"electricity, low voltage",kWh,0.970899877,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Moldova,"electricity, low voltage",kWh,0.671335726,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Montenegro,"electricity, low voltage",kWh,0.721218783,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
North Macedonia,"electricity, low voltage",kWh,0.989599976,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Myanmar,"electricity, low voltage",kWh,0.429425212,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Mongolia,"electricity, low voltage",kWh,1.213890613,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Malta,"electricity, low voltage",kWh,0.48597065,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Mauritius,"electricity, low voltage",kWh,0.983454677,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Mexico,"electricity, low voltage",kWh,0.676493294,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Malaysia,"electricity, low voltage",kWh,0.873019554,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Mozambique,"electricity, low voltage",kWh,0.503400568,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Namibia,"electricity, low voltage",kWh,0.903527399,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Niger,"electricity, low voltage",kWh,0.773793781,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Nigeria,"electricity, low voltage",kWh,0.55592868,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Nicaragua,"electricity, low voltage",kWh,0.607191938,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Netherlands,"electricity, low voltage",kWh,0.51361883,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Norway,"electricity, low voltage",kWh,0.028301768,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Nepal,"electricity, low voltage",kWh,0.326857537,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
New Zealand,"electricity, low voltage",kWh,0.139207472,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Oman,"electricity, low voltage",kWh,0.700345843,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Panama,"electricity, low voltage",kWh,0.363786722,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Peru,"electricity, low voltage",kWh,0.237619537,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Philippines,"electricity, low voltage",kWh,0.9517509,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Pakistan,"electricity, low voltage",kWh,0.587979953,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Poland,"electricity, low voltage",kWh,0.963745907,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Portugal,"electricity, low voltage",kWh,0.346965682,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Paraguay,"electricity, low voltage",kWh,0.016175044,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Qatar,"electricity, low voltage",kWh,0.596922509,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Romania,"electricity, low voltage",kWh,0.423826148,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Serbia,"electricity, low voltage",kWh,0.985908726,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Russia,"electricity, low voltage",kWh,0.738990934,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Saudi Arabia,"electricity, low voltage",kWh,1.095669228,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Sudan,"electricity, low voltage",kWh,0.544927599,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Sweden,"electricity, low voltage",kWh,0.036732141,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Singapore,"electricity, low voltage",kWh,0.50389859,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Slovenia,"electricity, low voltage",kWh,0.367276937,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Slovakia,"electricity, low voltage",kWh,0.417919443,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Senegal,"electricity, low voltage",kWh,1.131930523,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
South Sudan,"electricity, low voltage",kWh,1.046667852,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
El Salvador,"electricity, low voltage",kWh,0.454253935,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Syria,"electricity, low voltage",kWh,0.857534978,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Togo,"electricity, low voltage",kWh,0.52347062,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Thailand,"electricity, low voltage",kWh,0.805268449,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Tajikistan,"electricity, low voltage",kWh,0.117549587,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Turkmenistan,"electricity, low voltage",kWh,0.757298305,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Tunisia,"electricity, low voltage",kWh,0.69442942,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Turkey,"electricity, low voltage",kWh,0.61115186,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Trinidad and Tobago,"electricity, low voltage",kWh,0.684018184,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Taiwan,"electricity, low voltage",kWh,0.776747389,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Tanzania,"electricity, low voltage",kWh,0.767865452,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Ukraine,"electricity, low voltage",kWh,0.566432036,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
US-ASCC,"electricity, low voltage",kWh,0.622002182,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
US- Hawaii,"electricity, low voltage",kWh,0.9109539,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
US-MRO,"electricity, low voltage",kWh,0.529785256,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
US-NPCC,"electricity, low voltage",kWh,0.23620312,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
US-PR,"electricity, low voltage",kWh,0.934058772,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
US-RFC,"electricity, low voltage",kWh,0.51881521,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
US-SERC,"electricity, low voltage",kWh,0.517060894,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
US-TRE,"electricity, low voltage",kWh,0.486736614,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
US-WECC,"electricity, low voltage",kWh,0.403222962,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Uruguay,"electricity, low voltage",kWh,0.041333478,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Uzbekistan,"electricity, low voltage",kWh,0.685979333,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Venezuela,"electricity, low voltage",kWh,0.448666231,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Vietnam,"electricity, low voltage",kWh,0.691012718,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Kosovo,"electricity, low voltage",kWh,1.509651859,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Yemen,"electricity, low voltage",kWh,1.26817092,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
South Africa,"electricity, low voltage",kWh,1.116018441,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Zambia,"electricity, low voltage",kWh,0.195002121,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Zimbabwe,"electricity, low voltage",kWh,0.787565516,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Switzerland,"electricity, low voltage, renewable energy products",kWh,0.013075164,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Bosnia and Herzegowina,"electricity, medium voltage",kWh,0.692310498,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Belgium,"electricity, medium voltage",kWh,0.195091662,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Bulgaria,"electricity, medium voltage",kWh,0.54337869,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Switzerland,"electricity, medium voltage",kWh,0.009690034,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Cyprus,"electricity, medium voltage",kWh,1.06984673,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Czech Republic,"electricity, medium voltage",kWh,0.725414584,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Germany,"electricity, medium voltage",kWh,0.724544006,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Denmark,"electricity, medium voltage",kWh,0.656315941,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Estonia,"electricity, medium voltage",kWh,0.762996883,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Spain,"electricity, medium voltage",kWh,0.388185879,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Finland,"electricity, medium voltage",kWh,0.399166759,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
France,"electricity, medium voltage",kWh,0.07924685,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Great Britain,"electricity, medium voltage",kWh,0.446225262,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Greece,"electricity, medium voltage",kWh,0.688759009,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Croatia,"electricity, medium voltage",kWh,0.579635738,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Hungary,"electricity, medium voltage",kWh,0.404766171,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Ireland,"electricity, medium voltage",kWh,0.607462313,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Iceland,"electricity, medium voltage",kWh,0.512558249,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Italy,"electricity, medium voltage",kWh,0.624835174,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Lithuania,"electricity, medium voltage",kWh,0.631473904,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Luxembourg,"electricity, medium voltage",kWh,0.508205708,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Latvia,"electricity, medium voltage",kWh,0.422361852,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Montenegro,"electricity, medium voltage",kWh,0.537303018,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Malta,"electricity, medium voltage",kWh,0.500456699,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Netherlands,"electricity, medium voltage",kWh,0.580209645,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Norway,"electricity, medium voltage",kWh,0.500408262,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Poland,"electricity, medium voltage",kWh,1.075505977,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Portugal,"electricity, medium voltage",kWh,0.361817027,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Romania,"electricity, medium voltage",kWh,0.351332165,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Serbia,"electricity, medium voltage",kWh,0.982597203,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Sweden,"electricity, medium voltage",kWh,0.073210448,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Slovenia,"electricity, medium voltage",kWh,0.785842968,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Slovakia,"electricity, medium voltage",kWh,0.270916476,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Bosnia and Herzegowina,"electricity, low voltage",kWh,0.726766118,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Belgium,"electricity, low voltage",kWh,0.202784588,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Bulgaria,"electricity, low voltage",kWh,0.568520784,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Switzerland,"electricity, low voltage",kWh,0.012784261,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Cyprus,"electricity, low voltage",kWh,1.090880326,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Czech Republic,"electricity, low voltage",kWh,0.75036955,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Germany,"electricity, low voltage",kWh,0.70582743,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Denmark,"electricity, low voltage",kWh,0.64315076,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Estonia,"electricity, low voltage",kWh,0.734987946,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Spain,"electricity, low voltage",kWh,0.407202394,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Finland,"electricity, low voltage",kWh,0.40222908,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
France,"electricity, low voltage",kWh,0.084437327,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Great Britain,"electricity, low voltage",kWh,0.441639161,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
Greece,"electricity, low voltage",kWh,0.719234008,"GWP100 Global warming potential average of CML v4.8 2006, EDIP 2003, IPCC2021 and ReCiPe 2016 v1.3"
